pTrdSymbol;pSymbol;pSymbolName;pGroup;pExSeg;pInstType
88TIAPL29-N0;760493;88TIAPL29;N0;;
930IIFL35A-N0;760495;930IIFL35A;N0;;
707GJ30-SG;760501;707GJ30;SG;;
754RJ35-SG;760510;754RJ35;SG;;
759UP41-SG;760515;759UP41;SG;;
76KL42-SG;760518;76KL42;SG;;
729NHPC33-N0;760535;729NHPC33;N0;;
695MP30-SG;760557;695MP30;SG;;
739TN34-SG;760618;739TN34;SG;;
KRMAYURVED-SM;760624;KRMAYURVED;SM;;
SIHF29-N0;760628;SIHF29;N0;;
759AS36-SG;760632;759AS36;SG;;
759UK38-SG;760635;759UK38;SG;;
763BR40-SG;760638;763BR40;SG;;
1150AFIL29-N0;760641;1150AFIL29;N0;;
750TN36-SG;760664;750TN36;SG;;
754CG36-SG;760665;754CG36;SG;;
76HR39-SG;760669;76HR39;SG;;
765BR51-SG;760681;765BR51;SG;;
KRISHPP-E1;760688;KRISHPP;E1;;
NEXT50ETF-EQ;760709;NEXT50ETF;EQ;;
NEXT50ETF-BL;760711;NEXT50ETF;BL;;
HALDER-BL;760716;HALDER;BL;;
704SIDBI29-N0;760722;704SIDBI29;N0;;
BHARATCOAL-BL;760729;BHARATCOAL;BL;;
87MFL36-N0;760738;87MFL36;N0;;
770TOPL30-N0;760745;770TOPL30;N0;;
ARMOUR-SM;760749;ARMOUR;SM;;
764TS44-SG;760754;764TS44;SG;;
PARAS-EQ;5911;PARAS;EQ;;
SGBOCT26-GB;5960;SGBOCT26;GB;;
687BR30-SG;5970;687BR30;SG;;
70JH33-SG;5983;70JH33;SG;;
705KL36-SG;5991;705KL36;SG;;
COASTCORP-EQ;6006;COASTCORP;EQ;;
ABSLAMC-EQ;6018;ABSLAMC;EQ;;
SBC-EQ;6792;SBC;EQ;;
695GS2061-GS;6817;695GS2061;GS;;
1018GS2026-GS;6833;1018GS2026;GS;;
795GS2032-GS;6835;795GS2032;GS;;
DHRUV-EQ;6858;DHRUV;EQ;;
ASIANENE-EQ;7030;ASIANENE;EQ;;
92GS2030-GS;7039;92GS2030;GS;;
ACCELYA-EQ;7053;ACCELYA;EQ;;
MAHKTECH-EQ;7074;MAHKTECH;EQ;;
680TN35-SG;757735;680TN35;SG;;
700AP37-SG;757736;700AP37;SG;;
715MH45-SG;757737;715MH45;SG;;
714TS49-SG;757740;714TS49;SG;;
